order_date,year,month_name,month_num,quarter,cy_date,product_code,product_type,customer_code,customer_name,customer_type,market_code,market_name,zone,sales_qty,sales_amount,currency,profit_margin_percentage,profit_margin,cost_price
2017-10-01,2017,October,10,Q4,2016-10-01,Prod011,Own Brand,Cus001,Surge Stores,Brick & Mortar,Mark015,Pune,Central,19,10223.86,INR,15.76,1611.28,8612.58
2017-10-01,2017,October,10,Q4,2016-10-01,Prod003,Own Brand,Cus006,Nixon,E-Commerce,Mark005,Kanpur,North,34,66740.39,INR,12.06,8048.89,58691.5
2017-10-01,2017,October,10,Q4,2016-10-01,Prod002,Own Brand,Cus010,Electricalsbea Stores,Brick & Mortar,Mark004,Delhi NCR,North,11,13475.44,INR,10.19,1373.15,12102.29
2017-10-01,2017,October,10,Q4,2016-10-01,Prod009,Own Brand,Cus002,Nomad Stores,Brick & Mortar,Mark003,Ahmedabad,North,39,35730.12,INR,10.67,3812.4,31917.72
2017-10-01,2017,October,10,Q4,2016-10-01,Prod004,Own Brand,Cus003,Excel Stores,Brick & Mortar,Mark015,Pune,Central,18,15682.83,INR,12.83,2012.11,13670.72
2017-10-01,2017,October,10,Q4,2016-10-01,Prod018,Distribution,Cus012,Synthetic,E-Commerce,Mark013,Bhubaneswar,South,37,52547.42,INR,11.08,5822.25,46725.17
2017-10-01,2017,October,10,Q4,2016-10-01,Prod016,Distribution,Cus011,Info Stores,Brick & Mortar,Mark009,Patna,Central,22,35776.95,INR,15.0,5366.54,30410.41
2017-10-01,2017,October,10,Q4,2016-10-01,Prod014,Distribution,Cus004,Surface Stores,Brick & Mortar,Mark003,Ahmedabad,North,49,25421.15,INR,1.02,259.3,25161.85
2017-10-01,2017,October,10,Q4,2016-10-01,Prod016,Distribution,Cus009,Electricalslytical,E-Commerce,Mark007,Bhopal,Central,40,5003.09,INR,10.0,500.31,4502.78
2017-10-01,2017,October,10,Q4,2016-10-01,Prod013,Own Brand,Cus002,Nomad Stores,Brick & Mortar,Mark005,Kanpur,North,44,19009.9,INR,11.6,2205.15,16804.75
2017-10-01,2017,October,10,Q4,2016-10-01,Prod004,Own Brand,Cus015,Leader,E-Commerce,Mark003,Ahmedabad,North,12,26529.38,INR,16.51,4380.0,22149.38
2017-10-01,2017,October,10,Q4,2016-10-01,Prod012,Distribution,Cus018,Control,E-Commerce,Mark002,Mumbai,Central,55,118898.54,INR,12.31,14636.41,104262.13
2017-10-01,2017,October,10,Q4,2016-10-01,Prod008,Distribution,Cus005,Premium Stores,Brick & Mortar,Mark005,Kanpur,North,45,105797.99,INR,4.42,4676.27,101121.72
2017-10-01,2017,October,10,Q4,2016-10-01,Prod011,Own Brand,Cus002,Nomad Stores,Brick & Mortar,Mark004,Delhi NCR,North,39,29560.44,INR,10.6,3133.41,26427.03
2017-10-01,2017,October,10,Q4,2016-10-01,Prod016,Distribution,Cus010,Electricalsbea Stores,Brick & Mortar,Mark008,Lucknow,North,42,94716.33,INR,0.14,132.6,94583.73
2017-10-01,2017,October,10,Q4,2016-10-01,Prod010,Distribution,Cus003,Excel Stores,Brick & Mortar,Mark015,Pune,Central,35,45555.06,INR,-0.86,-391.77,45946.83
2017-10-02,2017,October,10,Q4,2016-10-02,Prod012,Distribution,Cus014,Logic Stores,Brick & Mortar,Mark001,Chennai,South,63,64895.83,INR,6.37,4133.86,60761.97
2017-10-02,2017,October,10,Q4,2016-10-02,Prod014,Distribution,Cus012,Synthetic,E-Commerce,Mark009,Patna,Central,38,63317.34,INR,-2.48,-1570.27,64887.61
2017-10-02,2017,October,10,Q4,2016-10-02,Prod002,Own Brand,Cus020,Novus,E-Commerce,Mark001,Chennai,South,18,20543.43,INR,6.66,1368.19,19175.24
2017-10-02,2017,October,10,Q4,2016-10-02,Prod007,Distribution,Cus007,Sage,E-Commerce,Mark001,Chennai,South,1,211.09,INR,-4.64,-9.79,220.88
2017-10-02,2017,October,10,Q4,2016-10-02,Prod001,Own Brand,Cus016,Propel,E-Commerce,Mark001,Chennai,South,82,30500.68,INR,17.93,5468.77,25031.91
2017-10-02,2017,October,10,Q4,2016-10-02,Prod017,Own Brand,Cus004,Surface Stores,Brick & Mortar,Mark013,Bhubaneswar,South,20,4711.43,INR,15.91,749.59,3961.84
2017-10-02,2017,October,10,Q4,2016-10-02,Prod017,Own Brand,Cus004,Surface Stores,Brick & Mortar,Mark004,Delhi NCR,North,39,17102.07,INR,12.47,2132.63,14969.44
2017-10-02,2017,October,10,Q4,2016-10-02,Prod013,Own Brand,Cus005,Premium Stores,Brick & Mortar,Mark003,Ahmedabad,North,53,7663.62,INR,11.93,914.27,6749.35
2017-10-02,2017,October,10,Q4,2016-10-02,Prod018,Distribution,Cus007,Sage,E-Commerce,Mark003,Ahmedabad,North,11,7497.23,INR,-4.75,-356.12,7853.35
2017-10-02,2017,October,10,Q4,2016-10-02,Prod006,Distribution,Cus018,Control,E-Commerce,Mark004,Delhi NCR,North,57,15792.89,INR,6.83,1078.65,14714.24
2017-10-02,2017,October,10,Q4,2016-10-02,Prod007,Distribution,Cus019,Epic Stores,Brick & Mortar,Mark012,Hyderabad,South,30,73088.08,INR,7.63,5576.62,67511.46
2017-10-02,2017,October,10,Q4,2016-10-02,Prod013,Own Brand,Cus017,Sunset,E-Commerce,Mark008,Lucknow,North,21,45959.39,INR,7.06,3244.73,42714.66
2017-10-02,2017,October,10,Q4,2016-10-02,Prod015,Own Brand,Cus017,Sunset,E-Commerce,Mark005,Kanpur,North,19,25984.64,INR,9.87,2564.68,23419.96
2017-10-02,2017,October,10,Q4,2016-10-02,Prod008,Distribution,Cus005,Premium Stores,Brick & Mortar,Mark003,Ahmedabad,North,35,44553.03,INR,-2.89,-1287.58,45840.61
2017-10-02,2017,October,10,Q4,2016-10-02,Prod006,Distribution,Cus016,Propel,E-Commerce,Mark010,Surat,North,29,34266.02,INR,-2.37,-812.1,35078.12
2017-10-02,2017,October,10,Q4,2016-10-02,Prod014,Distribution,Cus006,Nixon,E-Commerce,Mark011,Nagpur,Central,36,77799.11,INR,-2.59,-2015.0,79814.11
2017-10-02,2017,October,10,Q4,2016-10-02,Prod001,Own Brand,Cus003,Excel Stores,Brick & Mortar,Mark003,Ahmedabad,North,35,35648.03,INR,12.44,4434.61,31213.42
2017-10-02,2017,October,10,Q4,2016-10-02,Prod017,Own Brand,Cus018,Control,E-Commerce,Mark013,Bhubaneswar,South,42,80778.68,INR,23.72,19160.7,61617.98
2017-10-02,2017,October,10,Q4,2016-10-02,Prod010,Distribution,Cus002,Nomad Stores,Brick & Mortar,Mark010,Surat,North,21,36874.08,INR,6.71,2474.25,34399.83
2017-10-03,2017,October,10,Q4,2016-10-03,Prod011,Own Brand,Cus010,Electricalsbea Stores,Brick & Mortar,Mark010,Surat,North,25,47382.43,INR,17.7,8386.69,38995.74
2017-10-03,2017,October,10,Q4,2016-10-03,Prod003,Own Brand,Cus001,Surge Stores,Brick & Mortar,Mark015,Pune,Central,6,1990.05,INR,16.48,327.96,1662.09
2017-10-03,2017,October,10,Q4,2016-10-03,Prod010,Distribution,Cus007,Sage,E-Commerce,Mark003,Ahmedabad,North,55,3608.49,INR,2.57,92.74,3515.75
2017-10-03,2017,October,10,Q4,2016-10-03,Prod003,Own Brand,Cus001,Surge Stores,Brick & Mortar,Mark007,Bhopal,Central,30,43389.34,INR,19.83,8604.11,34785.23
2017-10-03,2017,October,10,Q4,2016-10-03,Prod004,Own Brand,Cus020,Novus,E-Commerce,Mark003,Ahmedabad,North,43,76326.58,INR,19.5,14883.68,61442.9
2017-10-03,2017,October,10,Q4,2016-10-03,Prod006,Distribution,Cus014,Logic Stores,Brick & Mortar,Mark001,Chennai,South,66,139705.56,INR,-0.1,-139.71,139845.27
2017-10-03,2017,October,10,Q4,2016-10-03,Prod014,Distribution,Cus005,Premium Stores,Brick & Mortar,Mark014,Kochi,South,16,23549.26,INR,-1.04,-244.91,23794.17
2017-10-03,2017,October,10,Q4,2016-10-03,Prod017,Own Brand,Cus019,Epic Stores,Brick & Mortar,Mark006,Bengaluru,South,27,41412.9,INR,13.77,5702.56,35710.34
2017-10-03,2017,October,10,Q4,2016-10-03,Prod015,Own Brand,Cus013,Path,E-Commerce,Mark014,Kochi,South,9,12653.42,INR,6.94,878.15,11775.27
2017-10-03,2017,October,10,Q4,2016-10-03,Prod009,Own Brand,Cus004,Surface Stores,Brick & Mortar,Mark009,Patna,Central,17,29695.32,INR,8.36,2482.53,27212.79
2017-10-03,2017,October,10,Q4,2016-10-03,Prod014,Distribution,Cus001,Surge Stores,Brick & Mortar,Mark003,Ahmedabad,North,43,93975.66,INR,10.16,9547.93,84427.73
